0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:18 +0530] "GET /Ebook-App/old_book.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:35 +0530] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:35 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:44 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:44 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:46 +0530] "GET /Ebook-App/admin/add_books.jsp HTTP/1.1" 200 5730
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:55 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:56 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:56 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:56 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:09 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:10 +0530] "GET /Ebook-App/admin/orders.jsp HTTP/1.1" 200 4040
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:12 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:14 +0530] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:14 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:20 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:20 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 10879
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:20 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:24 +0530] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:59:25 +0530] "GET /Ebook-App/old_book.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:00:22 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 10879
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:00:22 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:00:22 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:22:44 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:22:44 +0530] "GET /Ebook-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:30:45 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:30:46 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:30:46 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:30:48 +0530] "GET /Ebook-App/cart?bid=2&&uid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:30:48 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6759
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:30:48 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:30:49 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8691
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:12 +0530] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:12 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:18 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:18 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 10879
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:18 +0530] "GET /Ebook-App/img/a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:18 +0530] "GET /Ebook-App/img/f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:18 +0530] "GET /Ebook-App/img/h.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:18 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:18 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:19 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8691
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:27 +0530] "POST /Ebook-App/order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:27 +0530] "GET /Ebook-App/registration.jsp HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:31:36 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8691
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:01 +0530] "POST /Ebook-App/order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:01 +0530] "GET /Ebook-App/registration.jsp HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:06 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:06 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:08 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8691
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:09 +0530] "GET /Ebook-App/remove_book?bid=2&&uid=1&&cid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:09 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8464
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:12 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:12 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:34 +0530] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:34 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:39 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:39 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:40 +0530] "GET /Ebook-App/admin/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:32:41 +0530] "GET /Ebook-App/admin/add_books.jsp HTTP/1.1" 200 5730
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:15 +0530] "POST /Ebook-App/addBooks HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:15 +0530] "GET /Ebook-App/admin/add_books.jsp HTTP/1.1" 200 5819
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:17 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:18 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 5978
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:18 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:18 +0530] "GET /Ebook-App/book/Screenshot%20(3).png HTTP/1.1" 200 457392
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:24 +0530] "GET /Ebook-App/admin/edit_books.jsp?id=3 HTTP/1.1" 200 5387
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:27 +0530] "POST /Ebook-App/editBooks HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:27 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 6056
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:27 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:27 +0530] "GET /Ebook-App/book/Screenshot%20(3).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:31 +0530] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:31 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:32 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 5927
